mean,var,mu,sigma
1e-10,0.001372745563527054,-42.75623061806856,6.281779952868152
1e-10,0.0013827656034068137,-42.75986699746916,6.282358803431829
1e-10,0.0013927856432865732,-42.76347712119576,6.282933421779242
1e-10,0.0014028056831663328,-42.76706136567864,6.283503868979184
1e-10,0.0014128257230460923,-42.77062009931029,6.284070204790814
1e-10,0.0014228457629258517,-42.77415368267261,6.284632487700797
1e-10,0.0014328658028056112,-42.77766246875619,6.28519077495914
1e-10,0.0014428858426853708,-42.781146803171914,6.285745122613779
1e-10,0.0014529058825651303,-42.78460702435522,6.2862955855439635
1e-10,0.00146292592244489,-42.78804346376339,6.286842217492488
1e-10,0.0014729459623246495,-42.79145644606608,6.287385071096827
1e-10,0.0014829660022044088,-42.79484628932941,6.2879241979192075
1e-10,0.0014929860420841684,-42.7982133051938,6.288459648475665
1e-10,0.001503006081963928,-42.80155779904593,6.288991472264129
1e-10,0.0015130261218436875,-42.80488007018496,6.289519717791574
1e-10,0.001523046161723447,-42.80818041198322,6.2900444326002605
1e-10,0.0015330662016032066,-42.81145911204173,6.290565663293131
1e-10,0.001543086241482966,-42.81471645234055,6.291083455558365
1e-10,0.0015531062813627255,-42.81795270938431,6.291597854193138
1e-10,0.001563126321242485,-42.821168154343084,6.292108903126618
1e-10,0.0015731463611222446,-42.82436305318873,6.292616645442224
1e-10,0.0015831664010020042,-42.8275376668269,6.293121123399174
1e-10,0.0015931864408817635,-42.8306922512249,6.293622378453357
1e-10,0.001603206480761523,-42.83382705753555,6.29412045127754
1e-10,0.0016132265206412826,-42.836942332217156,6.294615381780955
1e-10,0.0016232465605210422,-42.8400383171498,6.295107209128267
1e-10,0.0016332666004008017,-42.84311524974801,6.295595971757964
1e-10,0.0016432866402805613,-42.846173363070065,6.296081707400184
1e-10,0.0016533066801603206,-42.84921288592385,6.296564453093987
1e-10,0.0016633267200400802,-42.85223404296965,6.297044245204124
1e-10,0.0016733467599198398,-42.85523705481975,6.297521119437281
1e-10,0.0016833667997995993,-42.85822213813515,6.29799511085785
1e-10,0.0016933868396793589,-42.861189505719295,6.2984662539032215
1e-10,0.0017034068795591182,-42.86413936660921,6.298934582398638
1e-10,0.0017134269194388778,-42.86707192616375,6.299400129571592
1e-10,0.0017234469593186373,-42.86998738614949,6.299862928065822
1e-10,0.001733466999198397,-42.872885944823956,6.300323009954886
1e-10,0.0017434870390781565,-42.875767797016564,6.300780406755357
1e-10,0.001753507078957916,-42.87863313420718,6.301235149439627
1e-10,0.0017635271188376754,-42.88148214460249,6.301687268448352
1e-10,0.001773547158717435,-42.88431501321014,6.302136793702543
1e-10,0.0017835671985971945,-42.887131921910886,6.302583754615313
1e-10,0.001793587238476954,-42.88993304952861,6.303028180103299
1e-10,0.0018036072783567136,-42.89271857189846,6.3034700985977565
1e-10,0.001813627318236473,-42.895488661933115,6.303909538055358
1e-10,0.0018236473581162325,-42.89824348968712,6.304346525968676
1e-10,0.001833667397995992,-42.900983222419605,6.3047810893764025
1e-10,0.0018436874378757516,-42.903708024655195,6.305213254873262
1e-10,0.0018537074777555112,-42.906418058243275,6.305643048619675
1e-10,0.0018637275176352707,-42.90911348241569,6.306070496351153
1e-10,0.00187374755751503,-42.91179445384292,6.306495623387439
1e-10,0.0018837675973947896,-42.914461126688664,6.306918454641412
1e-10,0.0018937876372745492,-42.917113652663076,6.30733901462774
1e-10,0.0019038076771543087,-42.919752181074536,6.307757327471323
